Ticker,Mean Yield %,Std Dev %
PIC-A.TO,250.50471304347826,235.8442296498606
FTN.TO,89.582703539823,80.69840962902518
DGS.TO,63.14518644067797,35.21141704992722
DFN.TO,62.24443319838057,57.329513425000805
LBS.TO,54.75903846153846,35.20040221578587
MSTE.TO,51.1706,7.315412551592699
TSLY.TO,49.89066666666667,8.039387679833997
MSTY.TO,45.66233333333333,10.918767891418272
CNYE.TO,41.153,12.857481518555643
CONY.TO,36.75,9.38618013890635
BK.TO,33.753902542372884,16.279443225718666
PLTE.TO,33.5255,4.8430374250050985
SBC.TO,31.723285714285712,18.466259014962592
HHIS.TO,27.8045,3.320367494721028
PDV.TO,27.61567171717172,16.790303856155735
NVHE.TO,27.59972727272727,3.903418119825472
LLHE.TO,24.935909090909092,2.2381221796204733
LCS.TO,24.64252336448598,8.727359669394701
BEPR.TO,21.337885572139303,17.504478478144975
METE.TO,21.074166666666667,2.99862951473947
PDIV.TO,21.024767857142855,45.91077717556677
NVDH.TO,21.01981818181818,2.38006331084624
ENCL.TO,20.574954545454545,2.278060588626768
LLYH.TO,20.403454545454544,1.2883043401026297
GLCC.TO,19.944923529411767,16.552860138279158
HPYT.TO,19.799045454545453,0.9320572983241474
UTES.TO,19.067999999999998,0.6081996382767754
BKCL.TO,18.35664,2.461954133745519
BANK.TO,18.157476190476192,2.2884654485430587
BNK.TO,17.852147540983605,34.886793013897616
QQQY.TO,17.843347826086955,6.204532160289222
MSHE.TO,17.833363636363636,1.562797957045457
ETHY.TO,17.825717391304348,6.2194818135813055
HMAX.TO,17.662766666666666,2.502237642499259
GDV.TO,17.381788235294117,4.619365108133467
ENS.TO,16.974146341463417,4.0384068858710425
HPF.TO,16.734298387096775,9.545005849465921
UMAX.TO,16.331208333333333,1.2809104092204375
QQCL.TO,15.95559090909091,1.6233635469689776
HYLD.TO,15.68639024390244,2.314155222516946
AMHE.TO,15.216545454545455,1.7087416635428756
MSFH.TO,15.20909090909091,1.0253830947061155
USCL.TO,15.19372,1.8112220901921456
BTCY.TO,14.651266666666666,4.086422976816589
RS.TO,14.490074074074075,1.7268055997462954
EMAX.TO,14.026277777777779,0.8073671666782503
AMZH.TO,13.462727272727273,1.2365028177007196
CNCL.TO,13.407680000000001,1.9770038298732078
QMAX.TO,13.220333333333334,1.1014883718557054
LMAX.TO,13.210555555555555,0.5203321588711924
CALL.TO,13.107597826086955,3.183567558089243
HDIV.TO,12.946326530612245,0.7781526839186481
EQCL.TO,12.930727272727273,0.7558568888113905
HTAE.TO,12.861090909090908,1.7659749496318653
HHLE.TO,12.847090909090909,1.0398631629821657
PWI.TO,12.827875,1.7144361473065977
BKCC.TO,12.785815950920247,3.8761096909513806
BOND.TO,12.758227272727272,0.37026771933654146
HDIF.TO,12.481463414634147,1.307850528492473
EBNK.TO,12.263309523809523,3.138669591450704
SMAX.TO,12.138238095238094,0.9213875897124898
IS.TO,11.92525,0.7288427814007633
HBND.TO,11.795045454545454,0.36540264513765197
FMAX.TO,11.768333333333333,1.1535406874692633
HUTE.TO,11.695121212121213,1.1359430486817927
BMAX.TO,11.232029411764707,0.8406987528527252
ETSX.TO,11.209935483870968,0.8923386478045153
HBF.TO,11.152378787878789,2.885691448832881
TRVI.TO,10.796555555555555,1.1243199768110541
LIFE.TO,10.738326086956523,1.3311988243989792
AMAX.TO,10.738,1.1474183810522074
MREL.TO,10.677943396226414,2.6229375170397664
HBIE.TO,10.6375,0.33312500156347774
PAYF.TO,10.345222222222223,0.8011562458119142
BASE.TO,10.222369863013698,1.5991155498765324
RMAX.TO,10.197230769230769,0.28494799345557625
ESPX.TO,9.93148387096774,1.3863144633876725
HUBL.TO,9.86,1.5976401496016073
HGR.TO,9.48759375,0.9440993210253485
MFT.TO,9.143,3.803356050609305
HPYM.TO,9.09611111111111,0.17626046531762746
FLX.TO,9.082238095238095,5.245319636635711
HGY.TO,8.673177914110429,3.5257617422640575
HLIF.TO,8.587972972972972,0.8453947298447347
LEAD.TO,8.480915254237289,1.2697108860184043
HCAL.TO,8.216542372881356,3.896970323310121
HUTS.TO,8.124685714285713,0.7884619343054798
HBIL.TO,7.773727272727272,0.2688126079294233
PYF-U.TO,7.729526315789474,0.28058438390478563
HIND.TO,7.409800000000001,0.3400865856135545
ZFH.TO,7.042868613138687,1.2400070197709172
HFIN.TO,6.4985,1.3147151643662716
CASH.TO,3.806422222222222,1.658121890585974
